scope,image_id,ablation,capture_group,visible_blur,notes,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
ablation,IMG_0258,full,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_lowpass,3,True,0.875,0.3333333333333333,1.7374844551086426,10.598302841186523,380.65439999991213,32,68,35,68,28,3,1
ablation,IMG_0258,full,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_lowpass,3,True,0.7567567567567568,0.5,1.7526417970657349,3.856981039047241,347.0254000003479,37,114,43,114,28,2,1
ablation,IMG_0258,full,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_lowpass,3,True,0.7457627118644068,0.6,2.3207069635391235,3.2588746547698975,401.93970000018453,59,210,71,213,44,5,3
ablation,IMG_0258,full,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_lowpass,3,True,0.7142857142857143,0.6666666666666666,2.4585723876953125,3.3701589107513428,358.3656999999221,56,190,70,190,40,3,2
ablation,IMG_0258,full,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_lowpass,3,True,0.5217391304347826,0.6666666666666666,1.790915846824646,2.0237457752227783,818.3913000002576,23,46,23,49,12,6,4
ablation,IMG_0258,no_pyramid,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_lowpass,1,True,0.9,0.0,1.750857949256897,87.7071304321289,273.9406999999119,30,65,32,65,27,2,0
ablation,IMG_0258,no_pyramid,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_lowpass,1,True,0.696969696969697,0.0,2.2421605587005615,6.012446880340576,289.8158999996667,33,102,39,102,23,2,0
ablation,IMG_0258,no_pyramid,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_lowpass,1,True,0.7058823529411765,0.5,2.318606734275818,5.095394611358643,324.83920000049693,51,194,60,197,36,2,1
ablation,IMG_0258,no_pyramid,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_lowpass,1,True,0.6666666666666666,0.5,2.1655715703964233,4.163971424102783,289.25040000012814,45,174,56,174,30,2,1
ablation,IMG_0258,no_pyramid,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_lowpass,1,True,0.5714285714285714,1.0,1.148780733346939,0.887917160987854,646.7040000006818,7,14,7,14,4,2,2
ablation,IMG_0258,no_frequency,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,none,3,True,0.975,0.0,1.9075438976287842,4.107555389404297,72.82260000010865,40,123,50,123,39,1,0
ablation,IMG_0258,no_frequency,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,none,3,True,0.796875,0.0,2.389559030532837,6.4826250076293945,75.35029999962717,64,218,74,220,51,1,0
ablation,IMG_0258,no_frequency,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,none,3,True,0.7307692307692307,nan,2.537604570388794,nan,114.43589999998949,78,217,95,220,57,0,0
ablation,IMG_0258,no_frequency,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,none,3,True,0.6933333333333334,0.5,2.647042751312256,4.357797145843506,93.02149999984977,75,220,89,220,52,2,1
ablation,IMG_0258,no_frequency,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,none,3,True,0.5555555555555556,1.0,1.4198413491249084,1.4059137105941772,621.0311999993792,18,26,19,27,10,7,7
ablation,IMG_0258,no_nms,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_lowpass,3,False,0.6238095238095238,nan,0.8924528360366821,nan,364.41520000062155,210,220,220,220,131,0,0
ablation,IMG_0258,no_nms,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_lowpass,3,False,0.28,nan,0.9540871381759644,nan,371.48359999991953,200,216,220,220,56,0,0
ablation,IMG_0258,no_nms,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_lowpass,3,False,0.5722222222222222,nan,1.7453970909118652,nan,406.1193999996249,180,216,220,220,103,0,0
ablation,IMG_0258,no_nms,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_lowpass,3,False,0.49162011173184356,1.0,1.715984046459198,1.8522368669509888,368.3179999998174,179,214,220,220,88,1,1
ablation,IMG_0258,no_nms,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_lowpass,3,False,0.375,0.7142857142857143,1.830632209777832,2.5411689281463623,807.298499999888,56,82,56,86,21,7,5
ablation,IMG_0259,full,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,gaussian_lowpass,3,True,0.8285714285714286,nan,1.210644006729126,nan,364.75830000017595,38,35,39,35,29,0,0
ablation,IMG_0259,full,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,gaussian_lowpass,3,True,0.9130434782608695,1.0,1.1965035200119019,2.5794754028320312,364.88699999972596,46,66,48,68,42,2,2
ablation,IMG_0259,full,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,gaussian_lowpass,3,True,0.8714285714285714,0.0,1.6020230054855347,156.59808349609375,374.4267000001855,70,93,74,94,61,1,0
ablation,IMG_0259,full,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,gaussian_lowpass,3,True,0.9142857142857143,1.0,1.5184704065322876,2.814852237701416,383.92779999958293,70,91,72,92,64,4,4
ablation,IMG_0259,full,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,gaussian_lowpass,3,True,0.8260869565217391,0.7333333333333333,1.3670322895050049,1.3670322895050049,774.9352999999246,23,32,24,33,19,15,11
ablation,IMG_0259,no_pyramid,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,gaussian_lowpass,1,True,0.7941176470588235,nan,1.1129614114761353,nan,300.24069999944913,34,34,35,34,27,0,0
ablation,IMG_0259,no_pyramid,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,gaussian_lowpass,1,True,0.925,1.0,1.184066653251648,1.5200855731964111,284.38849999929516,40,59,42,61,37,1,1
ablation,IMG_0259,no_pyramid,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,gaussian_lowpass,1,True,0.8852459016393442,0.0,1.6685768961906433,6.337457656860352,300.4935999997542,61,80,65,81,54,1,0
ablation,IMG_0259,no_pyramid,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,gaussian_lowpass,1,True,0.9298245614035088,1.0,1.4378578662872314,0.912548840045929,326.31469999978435,57,78,59,79,53,3,3
ablation,IMG_0259,no_pyramid,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,gaussian_lowpass,1,True,0.5714285714285714,0.6,1.3091370463371277,1.7098276615142822,632.6429999999164,7,8,7,8,4,5,3
ablation,IMG_0259,no_frequency,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,none,3,True,0.9056603773584906,0.5,1.5292609930038452,20.334856033325195,75.97559999976511,53,73,55,73,48,2,1
ablation,IMG_0259,no_frequency,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,none,3,True,0.8961038961038961,0.0,1.353157877922058,4.427613258361816,72.26939999964088,77,100,80,103,69,2,0
ablation,IMG_0259,no_frequency,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,none,3,True,0.8829787234042553,nan,1.4743385314941406,nan,111.34130000027653,94,135,96,138,83,0,0
ablation,IMG_0259,no_frequency,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,none,3,True,0.8,nan,1.424919307231903,nan,100.96299999986513,90,105,91,107,72,0,0
ablation,IMG_0259,no_frequency,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,none,3,True,0.7391304347826086,0.9230769230769231,1.1953805685043335,1.1353707313537598,607.2003999997833,23,29,24,31,17,13,12
ablation,IMG_0259,no_nms,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,gaussian_lowpass,3,False,0.7511520737327189,nan,0.784114420413971,nan,360.53529999935563,217,220,220,220,163,0,0
ablation,IMG_0259,no_nms,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,gaussian_lowpass,3,False,0.905940594059406,nan,0.664603054523468,nan,375.43820000064443,202,213,220,220,183,0,0
ablation,IMG_0259,no_nms,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,gaussian_lowpass,3,False,0.8325358851674641,nan,0.5875279307365417,nan,371.7196999996304,209,212,220,220,174,0,0
ablation,IMG_0259,no_nms,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,gaussian_lowpass,3,False,0.8173076923076923,1.0,0.5514206886291504,0.3470708429813385,389.40400000046793,208,209,220,220,170,1,1
ablation,IMG_0259,no_nms,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,gaussian_lowpass,3,False,0.5370370370370371,0.9333333333333333,1.3670322895050049,1.2512418031692505,802.8033999999025,56,54,57,55,29,15,14
ablation,IMG_0261,full,cabinet,low,Close tilted view; left margin partly outside frame.,Sobel,gaussian_lowpass,3,True,0.8888888888888888,0.5,2.2973649501800537,3.485872268676758,389.17270000001736,36,74,39,74,32,4,2
ablation,IMG_0261,full,cabinet,low,Close tilted view; left margin partly outside frame.,LoG,gaussian_lowpass,3,True,0.8297872340425532,0.3333333333333333,2.3414671421051025,4.347900390625,356.8159000005835,47,127,50,129,39,3,1
ablation,IMG_0261,full,cabinet,low,Close tilted view; left margin partly outside frame.,Harris,gaussian_lowpass,3,True,0.7464788732394366,0.6,2.1935770511627197,3.8840627670288086,405.0944000000527,71,218,75,220,53,5,3
ablation,IMG_0261,full,cabinet,low,Close tilted view; left margin partly outside frame.,Shi-Tomasi,gaussian_lowpass,3,True,0.803030303030303,0.14285714285714285,1.8911744356155396,4.740780353546143,384.9344000000201,66,197,70,200,53,7,1
ablation,IMG_0261,full,cabinet,low,Close tilted view; left margin partly outside frame.,SIFT,gaussian_lowpass,3,True,0.5217391304347826,0.6666666666666666,2.356657028198242,2.653399705886841,809.1849000002185,23,49,24,51,12,3,2
ablation,IMG_0261,no_pyramid,cabinet,low,Close tilted view; left margin partly outside frame.,Sobel,gaussian_lowpass,1,True,0.90625,0.3333333333333333,2.482933282852173,4.637411594390869,265.3340999995635,32,68,35,68,29,3,1
ablation,IMG_0261,no_pyramid,cabinet,low,Close tilted view; left margin partly outside frame.,LoG,gaussian_lowpass,1,True,0.775,0.0,2.031080961227417,6.214898586273193,280.78310000000783,40,107,43,108,31,1,0
ablation,IMG_0261,no_pyramid,cabinet,low,Close tilted view; left margin partly outside frame.,Harris,gaussian_lowpass,1,True,0.7741935483870968,0.0,2.2831262350082397,6.00026798248291,316.03829999949085,62,216,66,218,48,2,0
ablation,IMG_0261,no_pyramid,cabinet,low,Close tilted view; left margin partly outside frame.,Shi-Tomasi,gaussian_lowpass,1,True,0.7547169811320755,0.3333333333333333,1.8598994612693787,4.512688159942627,303.0183000000761,53,181,57,183,40,3,1
ablation,IMG_0261,no_pyramid,cabinet,low,Close tilted view; left margin partly outside frame.,SIFT,gaussian_lowpass,1,True,0.5714285714285714,1.0,2.4363268613815308,2.653399705886841,621.5091000003667,7,15,7,15,4,1,1
ablation,IMG_0261,no_frequency,cabinet,low,Close tilted view; left margin partly outside frame.,Sobel,none,3,True,0.9215686274509803,nan,1.91031813621521,nan,73.64749999942433,51,128,56,131,47,0,0
ablation,IMG_0261,no_frequency,cabinet,low,Close tilted view; left margin partly outside frame.,LoG,none,3,True,0.7532467532467533,nan,2.202191114425659,nan,75.7077999996909,77,217,81,220,58,0,0
ablation,IMG_0261,no_frequency,cabinet,low,Close tilted view; left margin partly outside frame.,Harris,none,3,True,0.6989247311827957,0.0,2.178089141845703,7.067065238952637,115.00900000010006,93,218,97,220,65,1,0
ablation,IMG_0261,no_frequency,cabinet,low,Close tilted view; left margin partly outside frame.,Shi-Tomasi,none,3,True,0.6888888888888889,nan,2.0477389693260193,nan,103.72770000049059,90,218,93,220,62,0,0
ablation,IMG_0261,no_frequency,cabinet,low,Close tilted view; left margin partly outside frame.,SIFT,none,3,True,0.5217391304347826,0.8333333333333334,1.7647691369056702,1.3437901735305786,606.5765000003012,23,40,25,41,12,6,5
ablation,IMG_0261,no_nms,cabinet,low,Close tilted view; left margin partly outside frame.,Sobel,gaussian_lowpass,3,False,0.41037735849056606,nan,2.0011823177337646,nan,396.48290000059205,212,219,220,220,87,0,0
ablation,IMG_0261,no_nms,cabinet,low,Close tilted view; left margin partly outside frame.,LoG,gaussian_lowpass,3,False,0.23979591836734693,nan,1.1341952085494995,nan,369.42460000045685,196,215,220,220,47,0,0
ablation,IMG_0261,no_nms,cabinet,low,Close tilted view; left margin partly outside frame.,Harris,gaussian_lowpass,3,False,0.5544041450777202,nan,1.6531531810760498,nan,416.7174000003797,193,209,220,220,107,0,0
ablation,IMG_0261,no_nms,cabinet,low,Close tilted view; left margin partly outside frame.,Shi-Tomasi,gaussian_lowpass,3,False,0.4479166666666667,nan,1.1459265351295471,nan,380.3061999997226,192,210,220,220,86,0,0
ablation,IMG_0261,no_nms,cabinet,low,Close tilted view; left margin partly outside frame.,SIFT,gaussian_lowpass,3,False,0.32142857142857145,0.5,2.6822315454483032,4.22737979888916,838.119099999858,56,87,57,89,18,2,1
ablation,IMG_0262,full,cabinet,mild,Tilted view with slightly softer fine text.,Sobel,gaussian_lowpass,3,True,0.8918918918918919,0.5,2.711859703063965,6.691715240478516,346.0223000001861,37,57,39,57,33,2,1
ablation,IMG_0262,full,cabinet,mild,Tilted view with slightly softer fine text.,LoG,gaussian_lowpass,3,True,0.8043478260869565,0.7142857142857143,2.1803507804870605,1.9242018461227417,371.2613000006968,46,110,50,113,37,7,5
ablation,IMG_0262,full,cabinet,mild,Tilted view with slightly softer fine text.,Harris,gaussian_lowpass,3,True,0.7464788732394366,0.4,2.169159173965454,4.031497955322266,395.3621999999086,71,172,75,176,53,5,2
ablation,IMG_0262,full,cabinet,mild,Tilted view with slightly softer fine text.,Shi-Tomasi,gaussian_lowpass,3,True,0.7424242424242424,0.6,2.3418962955474854,3.83254075050354,381.4292999995814,66,150,70,152,49,10,6
ablation,IMG_0262,full,cabinet,mild,Tilted view with slightly softer fine text.,SIFT,gaussian_lowpass,3,True,0.4166666666666667,0.6,2.3765411376953125,3.089095115661621,790.2401999999711,24,62,24,64,10,5,3
ablation,IMG_0262,no_pyramid,cabinet,mild,Tilted view with slightly softer fine text.,Sobel,gaussian_lowpass,1,True,0.9090909090909091,0.0,2.8184624910354614,10.017414093017578,290.43780000029074,33,52,35,52,30,1,0
ablation,IMG_0262,no_pyramid,cabinet,mild,Tilted view with slightly softer fine text.,LoG,gaussian_lowpass,1,True,0.8461538461538461,0.8,2.309680223464966,1.8283017873764038,282.3637999999846,39,96,43,99,33,5,4
ablation,IMG_0262,no_pyramid,cabinet,mild,Tilted view with slightly softer fine text.,Harris,gaussian_lowpass,1,True,0.7741935483870968,0.42857142857142855,2.3037686347961426,4.777907371520996,289.8019000003842,62,162,66,165,48,7,3
ablation,IMG_0262,no_pyramid,cabinet,mild,Tilted view with slightly softer fine text.,Shi-Tomasi,gaussian_lowpass,1,True,0.7547169811320755,0.625,2.7953916788101196,3.83254075050354,310.52550000003976,53,140,57,141,40,8,5
ablation,IMG_0262,no_pyramid,cabinet,mild,Tilted view with slightly softer fine text.,SIFT,gaussian_lowpass,1,True,0.5714285714285714,0.6666666666666666,3.076424479484558,3.089095115661621,611.7836999992505,7,20,7,21,4,3,2
ablation,IMG_0262,no_frequency,cabinet,mild,Tilted view with slightly softer fine text.,Sobel,none,3,True,0.7058823529411765,nan,1.5783180594444275,nan,65.1066999998875,51,95,56,97,36,0,0
ablation,IMG_0262,no_frequency,cabinet,mild,Tilted view with slightly softer fine text.,LoG,none,3,True,0.881578947368421,0.0,2.0022661685943604,5.399020195007324,72.82979999945383,76,180,81,185,67,1,0
ablation,IMG_0262,no_frequency,cabinet,mild,Tilted view with slightly softer fine text.,Harris,none,3,True,0.7204301075268817,0.0,2.479306697845459,4.1724724769592285,116.57519999971555,93,216,97,220,67,1,0
ablation,IMG_0262,no_frequency,cabinet,mild,Tilted view with slightly softer fine text.,Shi-Tomasi,none,3,True,0.6966292134831461,1.0,2.094930052757263,0.46105173230171204,97.35659999932977,89,202,93,205,62,1,1
ablation,IMG_0262,no_frequency,cabinet,mild,Tilted view with slightly softer fine text.,SIFT,none,3,True,0.5652173913043478,0.5,2.6916823387145996,3.7467031478881836,602.7018000004318,23,52,25,55,13,4,2
ablation,IMG_0262,no_nms,cabinet,mild,Tilted view with slightly softer fine text.,Sobel,gaussian_lowpass,3,False,0.30952380952380953,nan,1.7976757287979126,nan,365.71099999946455,211,210,220,220,65,0,0
ablation,IMG_0262,no_nms,cabinet,mild,Tilted view with slightly softer fine text.,LoG,gaussian_lowpass,3,False,0.5,nan,1.7857972383499146,nan,370.8929000003991,194,209,220,220,97,0,0
ablation,IMG_0262,no_nms,cabinet,mild,Tilted view with slightly softer fine text.,Harris,gaussian_lowpass,3,False,0.6105263157894737,nan,1.9535813927650452,nan,385.9818999999334,190,210,220,220,116,0,0
ablation,IMG_0262,no_nms,cabinet,mild,Tilted view with slightly softer fine text.,Shi-Tomasi,gaussian_lowpass,3,False,0.455026455026455,nan,1.5478914976119995,nan,391.143099999681,189,209,220,220,86,0,0
ablation,IMG_0262,no_nms,cabinet,mild,Tilted view with slightly softer fine text.,SIFT,gaussian_lowpass,3,False,0.3333333333333333,0.5,2.6985738277435303,4.845582008361816,786.8293999999878,57,115,57,119,19,4,2
ablation,IMG_0263,full,desk,mild,Oblique close view with bright right-side light.,Sobel,gaussian_lowpass,3,True,0.7777777777777778,0.0,2.4688819646835327,9.67451286315918,359.2564999999013,36,54,39,54,28,1,0
ablation,IMG_0263,full,desk,mild,Oblique close view with bright right-side light.,LoG,gaussian_lowpass,3,True,0.8478260869565217,0.6666666666666666,2.2099359035491943,3.00943660736084,345.04089999973075,46,124,50,125,39,6,4
ablation,IMG_0263,full,desk,mild,Oblique close view with bright right-side light.,Harris,gaussian_lowpass,3,True,0.8028169014084507,0.625,2.2783403396606445,3.2815444469451904,380.2709000001414,71,180,75,184,57,8,5
ablation,IMG_0263,full,desk,mild,Oblique close view with bright right-side light.,Shi-Tomasi,gaussian_lowpass,3,True,0.8307692307692308,0.5,2.3933154344558716,3.80953049659729,377.91160000051605,65,163,70,164,54,8,4
ablation,IMG_0263,full,desk,mild,Oblique close view with bright right-side light.,SIFT,gaussian_lowpass,3,True,0.6666666666666666,0.25,2.1849570274353027,5.434846878051758,801.3990999997986,24,90,24,92,16,4,1
ablation,IMG_0263,no_pyramid,desk,mild,Oblique close view with bright right-side light.,Sobel,gaussian_lowpass,1,True,0.84375,0.0,2.4880259037017822,9.67451286315918,297.62790000040695,32,51,35,51,27,1,0
