scope,image_id,capture_group,visible_blur,notes,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,none,1,True,0.9736842105263158,nan,1.857620358467102,nan,51.86020000019198,38,118,47,118,37,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,none,1,True,0.7169811320754716,0.0,2.4425241947174072,6.4826250076293945,51.71939999945607,53,209,63,211,38,1,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,none,1,True,0.6805555555555556,nan,2.685671806335449,nan,80.237400000442,72,218,89,220,49,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,none,1,True,0.6164383561643836,nan,2.6488254070281982,nan,79.50159999927564,73,201,86,201,45,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,none,1,True,0.3333333333333333,1.0,2.285759210586548,2.285759210586548,460.346899999422,4,3,5,4,1,1,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,none,2,True,0.975,0.0,1.9075438976287842,4.107555389404297,61.84480000047188,40,120,49,120,39,1,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,none,2,True,0.8135593220338984,0.0,2.40216064453125,6.4826250076293945,68.21080000008806,59,218,69,220,48,1,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,none,2,True,0.7236842105263158,nan,2.3899526596069336,nan,102.67810000004829,76,217,93,220,55,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,none,2,True,0.68,0.5,2.6452600955963135,4.357797145843506,93.66429999954562,75,220,89,220,51,2,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,none,2,True,0.8888888888888888,1.0,1.3311384916305542,1.3311384916305542,577.2870000000694,9,14,10,15,8,6,6
