scope,image_id,method,frequency_filter,pyramid_levels,nms,noise_sigma,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
noise_curve,IMG_0258,Sobel,none,3,True,0.0,0.975,1.9075438976287842,39,40,123
noise_curve,IMG_0258,Sobel,none,3,True,5.0,0.975,1.6605011224746704,39,40,134
noise_curve,IMG_0258,Sobel,none,3,True,10.0,0.975,1.5982180833816528,39,40,141
noise_curve,IMG_0258,Sobel,none,3,True,20.0,0.975,1.8025023937225342,39,40,182
noise_curve,IMG_0258,LoG,none,3,True,0.0,0.796875,2.389559030532837,51,64,218
noise_curve,IMG_0258,LoG,none,3,True,5.0,0.796875,2.3629138469696045,51,64,218
noise_curve,IMG_0258,LoG,none,3,True,10.0,0.765625,2.6198301315307617,49,64,218
noise_curve,IMG_0258,LoG,none,3,True,20.0,0.765625,2.248711109161377,49,64,218
noise_curve,IMG_0258,Harris,none,3,True,0.0,0.7307692307692307,2.537604570388794,57,78,217
noise_curve,IMG_0258,Harris,none,3,True,5.0,0.7051282051282052,2.6410324573516846,55,78,218
noise_curve,IMG_0258,Harris,none,3,True,10.0,0.6794871794871795,2.483274459838867,53,78,219
noise_curve,IMG_0258,Harris,none,3,True,20.0,0.6410256410256411,2.4405930042266846,50,78,218
noise_curve,IMG_0258,Shi-Tomasi,none,3,True,0.0,0.6933333333333334,2.647042751312256,52,75,220
noise_curve,IMG_0258,Shi-Tomasi,none,3,True,5.0,0.72,2.3886853456497192,54,75,219
noise_curve,IMG_0258,Shi-Tomasi,none,3,True,10.0,0.72,2.514350414276123,54,75,220
noise_curve,IMG_0258,Shi-Tomasi,none,3,True,20.0,0.68,2.3622853755950928,51,75,219
noise_curve,IMG_0258,SIFT,none,3,True,0.0,0.5555555555555556,1.4198413491249084,10,18,26
noise_curve,IMG_0258,SIFT,none,3,True,5.0,0.5555555555555556,1.3869391083717346,10,18,25
noise_curve,IMG_0258,SIFT,none,3,True,10.0,0.5,1.9929815530776978,9,18,25
noise_curve,IMG_0258,SIFT,none,3,True,20.0,0.5,2.2588961124420166,9,18,36
noise_curve,IMG_0258,Sobel,ideal_lowpass,3,True,0.0,0.7857142857142857,2.8350237607955933,22,28,62
noise_curve,IMG_0258,Sobel,ideal_lowpass,3,True,5.0,0.8214285714285714,2.8567450046539307,23,28,64
noise_curve,IMG_0258,Sobel,ideal_lowpass,3,True,10.0,0.7857142857142857,3.1245980262756348,22,28,66
noise_curve,IMG_0258,Sobel,ideal_lowpass,3,True,20.0,0.7142857142857143,3.079854369163513,20,28,66
noise_curve,IMG_0258,LoG,ideal_lowpass,3,True,0.0,0.5135135135135135,2.4773635864257812,19,37,119
noise_curve,IMG_0258,LoG,ideal_lowpass,3,True,5.0,0.5405405405405406,2.384641408920288,20,37,110
