scope,image_id,ablation,lighting,scale_factor,blur_sigma,noise_sigma,source_type,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
ablation,syn_01,full,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_lowpass,3,True,0.25,0.42857142857142855,1.3967363834381104,324.26953125,385.9509999999773,220,220,220,220,55,14,6
ablation,syn_01,full,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_lowpass,3,True,0.5772727272727273,0.7857142857142857,1.4766664505004883,0.6847857236862183,425.1332999999704,220,220,220,220,127,14,11
ablation,syn_01,full,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_lowpass,3,True,0.8727272727272727,0.9844961240310077,0.6520756483078003,0.6556013822555542,389.237600000115,220,220,220,220,192,129,127
ablation,syn_01,full,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,True,0.8454545454545455,0.9705882352941176,0.7062069177627563,0.6993860602378845,379.9326999999266,220,220,220,220,186,136,132
ablation,syn_01,full,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_lowpass,3,True,0.8590909090909091,0.8823529411764706,0.28055471181869507,0.31942835450172424,711.6344000000936,220,220,220,220,189,119,105
ablation,syn_01,no_pyramid,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_lowpass,1,True,0.21333333333333335,0.42857142857142855,0.8767904937267303,324.26953125,317.0100000002094,150,220,150,220,32,14,6
ablation,syn_01,no_pyramid,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_lowpass,1,True,0.6739130434782609,1.0,1.133855402469635,0.5154266357421875,309.9675999999363,92,220,92,220,62,11,11
ablation,syn_01,no_pyramid,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_lowpass,1,True,0.8863636363636364,0.9829059829059829,0.5304118394851685,0.5164369940757751,327.2273000000041,220,220,220,220,195,117,115
ablation,syn_01,no_pyramid,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,1,True,0.8636363636363636,1.0,0.5369111895561218,0.5291353464126587,316.1927999999534,220,220,220,220,190,115,115
ablation,syn_01,no_pyramid,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_lowpass,1,True,0.8116883116883117,0.881578947368421,0.20286250114440918,0.18823552131652832,517.1899000001758,154,158,154,158,125,76,67
ablation,syn_01,no_frequency,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,none,3,True,0.36818181818181817,0.9130434782608695,1.941998839378357,1.244399905204773,159.93639999987863,220,220,220,220,81,46,42
ablation,syn_01,no_frequency,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,none,3,True,0.7181818181818181,1.0,0.5800849199295044,0.4969530999660492,135.93709999986459,220,220,220,220,158,112,112
ablation,syn_01,no_frequency,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,none,3,True,0.759090909090909,1.0,0.47864681482315063,0.3823895752429962,135.52420000019083,220,220,220,220,167,116,116
ablation,syn_01,no_frequency,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,none,3,True,0.8409090909090909,1.0,0.6241270899772644,0.49643436074256897,132.51999999988584,220,220,220,220,185,128,128
ablation,syn_01,no_frequency,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,none,3,True,0.7363636363636363,0.7580645161290323,0.22303633391857147,0.3084939420223236,717.2292999998717,220,220,220,220,162,62,47
ablation,syn_01,no_nms,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_lowpass,3,False,0.13636363636363635,0.5769230769230769,0.18289396911859512,0.3253517150878906,327.6425999999901,220,220,220,220,30,26,15
ablation,syn_01,no_nms,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_lowpass,3,False,0.14545454545454545,0.25,0.4599345922470093,345.8698425292969,326.8780999999308,220,220,220,220,32,4,1
ablation,syn_01,no_nms,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_lowpass,3,False,0.7954545454545454,0.958904109589041,0.46563562750816345,0.44734054803848267,369.3199000001641,220,220,220,220,175,73,70
ablation,syn_01,no_nms,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,False,0.759090909090909,1.0,0.5505426526069641,0.5156287550926208,343.8717000001361,220,220,220,220,167,78,78
ablation,syn_01,no_nms,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_lowpass,3,False,0.6818181818181818,0.9545454545454546,0.17863691598176956,0.15542614459991455,631.6425999998501,220,220,220,220,150,88,84
ablation,syn_02,full,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Sobel,gaussian_lowpass,3,True,0.4818181818181818,0.8,1.131486713886261,0.924342930316925,360.18839999997,220,220,220,220,106,15,12
