ablation,method,count,repeatability,repeatability_std,repeatability_valid_count,matching_accuracy,matching_accuracy_std,matching_accuracy_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count,runtime_ms,runtime_ms_std,runtime_ms_valid_count,accepted_matches,accepted_matches_std,accepted_matches_valid_count,correct_matches,correct_matches_std,correct_matches_valid_count,reference_keypoints,reference_keypoints_std,reference_keypoints_valid_count,scene_keypoints,scene_keypoints_std,scene_keypoints_valid_count
full,Harris,10,0.8068181818181819,0.08488229845714727,10,0.9720480912339026,0.044178461411851194,10,0.9595871537923812,0.46192226492983274,10,348.06138000003557,34.68801801177291,10,119.7,29.944578437135792,10,117.3,31.86446993823127,10,220.0,0.0,10,220.0,0.0,10
full,LoG,10,0.5077272727272728,0.09479207345597335,10,0.7232828282828284,0.28795025007483566,10,1.545017570257187,0.11851658349359193,10,363.2053100000121,51.99108554076981,10,8.8,3.6147844564602556,10,6.9,3.0713731999438516,10,220.0,0.0,10,220.0,0.0,10
full,SIFT,10,0.7986363636363636,0.06305834166569228,10,0.9120661485604215,0.03769017027807195,10,0.41307361274957655,0.2361225904830382,10,622.2955400000501,69.40816394333606,10,96.4,16.304055391902416,10,88.2,16.59183199314919,10,220.0,0.0,10,220.0,0.0,10
full,Shi-Tomasi,10,0.7918181818181818,0.078402320012149,10,0.9707456827768317,0.03770858595148732,10,1.003154930472374,0.47808831821725206,10,327.64120999997886,38.44581925118067,10,113.7,32.111091887729735,10,111.3,33.33683314960262,10,220.0,0.0,10,220.0,0.0,10
full,Sobel,10,0.3972727272727273,0.09972874136833756,10,0.7435968316945547,0.16778711585240602,10,1.3130675613880158,0.1464365340028576,10,342.41859000001114,52.99145959221094,10,13.9,6.707375708046247,10,10.8,7.37563556583431,10,220.0,0.0,10,220.0,0.0,10
no_frequency,Harris,10,0.6795454545454545,0.10709988643752677,10,0.9718494152046784,0.05725976160504322,10,0.8775459885597229,0.5705098368725793,10,137.83724000002167,15.256372504460288,10,81.1,38.16179008147052,10,80.5,39.07897985703653,10,220.0,0.0,10,220.0,0.0,10
no_frequency,LoG,10,0.3818181818181818,0.30499363975966376,10,0.9970000000000001,0.006373169066533336,10,0.7230013817548752,0.2771464777159384,10,135.15462999998817,16.419526116093774,10,59.0,54.07607809579225,10,58.7,53.79601389611605,10,220.0,0.0,10,220.0,0.0,10
no_frequency,SIFT,10,0.5522727272727272,0.1384230019049652,10,0.8413804178765247,0.05786072868704948,10,0.6066663712263107,0.4094647729980751,10,691.9364599999653,34.71372471783092,10,37.0,17.657230184198703,10,30.8,13.76630346574966,10,220.0,0.0,10,220.0,0.0,10
no_frequency,Shi-Tomasi,10,0.7468181818181818,0.07410469599680372,10,0.9739785250577168,0.033855936992397806,10,0.9370558261871338,0.45720186626925424,10,126.92455999999765,11.658298330352947,10,92.1,44.001136348962625,10,90.4,44.25732833227861,10,220.0,0.0,10,220.0,0.0,10
no_frequency,Sobel,10,0.21272727272727274,0.12023851411042177,10,0.7984377218015661,0.10749050487850074,10,2.047907739877701,0.19597481708587497,10,135.34904000002825,14.708723902144838,10,22.2,13.31498737847276,10,18.4,12.149074038789951,10,220.0,0.0,10,220.0,0.0,10
no_nms,Harris,10,0.585,0.17467075153467915,10,0.9816046966731898,0.045598688613114675,10,0.58545091599226,0.20638669386833625,10,343.96696999999676,33.704798337511704,10,50.4,32.18764428230877,10,50.0,32.11783858785575,10,220.0,0.0,10,220.0,0.0,10
no_nms,LoG,10,0.1559090909090909,0.14174645298195657,10,0.44791666666666663,0.3671466014879165,8,0.4889332503080368,0.10053882423784546,7,324.73392000001695,18.096517090058793,10,2.6,1.9550504398153572,10,1.2,1.2292725943057183,10,220.0,0.0,10,220.0,0.0,10
no_nms,SIFT,10,0.6559090909090909,0.05915109599950846,10,0.9575280298550011,0.03303015453196277,10,0.2843720331788063,0.1932688054553643,10,611.6186999999627,62.526223785716255,10,75.8,17.42794690528214,10,72.9,17.854037825283854,10,220.0,0.0,10,220.0,0.0,10
no_nms,Shi-Tomasi,10,0.6818181818181819,0.08538789577942649,10,0.9989690721649485,0.0032600800620292453,10,0.5908271342515945,0.1061435170317233,10,332.24311999997553,39.596692339692396,10,62.3,32.32147548887237,10,62.2,32.20351947639678,10,220.0,0.0,10,220.0,0.0,10
no_nms,Sobel,10,0.10318181818181818,0.08145401560072978,10,0.7967032967032966,0.25989041604015123,7,0.3276000514626503,0.08701932983016983,10,325.843709999981,21.43910361553217,10,9.0,9.38083151964686,10,6.2,6.124631508189788,10,220.0,0.0,10,220.0,0.0,10
no_pyramid,Harris,10,0.7913636363636364,0.09316518698588921,10,0.9761517810422135,0.03559202297102051,10,1.102898496389389,0.8795035245727568,10,267.2069300000203,40.9181751121383,10,103.6,34.52599664664938,10,102.0,35.43068350079255,10,220.0,0.0,10,220.0,0.0,10
no_pyramid,LoG,10,0.5478260869565217,0.17400359961221729,10,0.9336860670194004,0.10862808839531962,9,1.3446065723896026,0.1306793261787626,10,245.87949999997818,39.05295518373795,10,7.4,3.1692971530679235,10,6.9,3.0713731999438516,10,92.0,0.0,10,220.0,0.0,10
