scope,image_id,method,frequency_filter,pyramid_levels,nms,noise_sigma,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
noise_curve,syn_01,Sobel,none,3,True,0.0,0.36818181818181817,1.941998839378357,81,220,220
noise_curve,syn_01,Sobel,none,3,True,5.0,0.2909090909090909,1.7257453799247742,64,220,220
noise_curve,syn_01,Sobel,none,3,True,10.0,0.2772727272727273,2.061004161834717,61,220,220
noise_curve,syn_01,Sobel,none,3,True,20.0,0.22727272727272727,2.234528660774231,50,220,220
noise_curve,syn_01,LoG,none,3,True,0.0,0.7181818181818181,0.5800849199295044,158,220,220
noise_curve,syn_01,LoG,none,3,True,5.0,0.7363636363636363,0.6269045770168304,162,220,220
noise_curve,syn_01,LoG,none,3,True,10.0,0.6863636363636364,0.6270413994789124,151,220,220
noise_curve,syn_01,LoG,none,3,True,20.0,0.5727272727272728,0.6439140737056732,126,220,220
noise_curve,syn_01,Harris,none,3,True,0.0,0.759090909090909,0.47864681482315063,167,220,220
noise_curve,syn_01,Harris,none,3,True,5.0,0.7681818181818182,0.48842939734458923,169,220,220
noise_curve,syn_01,Harris,none,3,True,10.0,0.7545454545454545,0.5128558278083801,166,220,220
noise_curve,syn_01,Harris,none,3,True,20.0,0.7181818181818181,0.5767207741737366,158,220,220
noise_curve,syn_01,Shi-Tomasi,none,3,True,0.0,0.8409090909090909,0.6241270899772644,185,220,220
noise_curve,syn_01,Shi-Tomasi,none,3,True,5.0,0.8363636363636363,0.5924014747142792,184,220,220
noise_curve,syn_01,Shi-Tomasi,none,3,True,10.0,0.8136363636363636,0.6003954410552979,179,220,220
noise_curve,syn_01,Shi-Tomasi,none,3,True,20.0,0.7818181818181819,0.579895406961441,172,220,220
noise_curve,syn_01,SIFT,none,3,True,0.0,0.7363636363636363,0.22303633391857147,162,220,220
noise_curve,syn_01,SIFT,none,3,True,5.0,0.7181818181818181,0.19826551526784897,158,220,220
noise_curve,syn_01,SIFT,none,3,True,10.0,0.6681818181818182,0.22882641851902008,147,220,220
noise_curve,syn_01,SIFT,none,3,True,20.0,0.43636363636363634,0.300735741853714,96,220,220
noise_curve,syn_01,Sobel,ideal_lowpass,3,True,0.0,0.5681818181818182,1.313417673110962,125,220,220
noise_curve,syn_01,Sobel,ideal_lowpass,3,True,5.0,0.5454545454545454,1.3128066658973694,120,220,220
noise_curve,syn_01,Sobel,ideal_lowpass,3,True,10.0,0.5636363636363636,1.3508599400520325,124,220,220
noise_curve,syn_01,Sobel,ideal_lowpass,3,True,20.0,0.5272727272727272,1.3776315450668335,116,220,220
noise_curve,syn_01,LoG,ideal_lowpass,3,True,0.0,0.5954545454545455,1.5588840246200562,131,220,220
noise_curve,syn_01,LoG,ideal_lowpass,3,True,5.0,0.5863636363636363,1.7470393180847168,129,220,220
noise_curve,syn_01,LoG,ideal_lowpass,3,True,10.0,0.5909090909090909,1.6079902648925781,130,220,220
noise_curve,syn_01,LoG,ideal_lowpass,3,True,20.0,0.5727272727272728,1.609480381011963,126,220,220
noise_curve,syn_01,Harris,ideal_lowpass,3,True,0.0,0.6772727272727272,1.206237554550171,149,220,220
noise_curve,syn_01,Harris,ideal_lowpass,3,True,5.0,0.6636363636363637,1.211785078048706,146,220,220
noise_curve,syn_01,Harris,ideal_lowpass,3,True,10.0,0.6590909090909091,1.2173326015472412,145,220,220
noise_curve,syn_01,Harris,ideal_lowpass,3,True,20.0,0.6409090909090909,1.2365974187850952,141,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,0.0,0.6590909090909091,1.2439839839935303,145,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,5.0,0.6636363636363637,1.3159343004226685,146,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,10.0,0.6590909090909091,1.2644274234771729,145,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,20.0,0.6409090909090909,1.30519437789917,141,220,220
noise_curve,syn_01,SIFT,ideal_lowpass,3,True,0.0,0.7181818181818181,0.7034590840339661,158,220,220
noise_curve,syn_01,SIFT,ideal_lowpass,3,True,5.0,0.7136363636363636,0.6800333857536316,157,220,220
noise_curve,syn_01,SIFT,ideal_lowpass,3,True,10.0,0.7136363636363636,0.6366977095603943,157,220,220
noise_curve,syn_01,SIFT,ideal_lowpass,3,True,20.0,0.7045454545454546,0.5865839719772339,155,220,220
noise_curve,syn_01,Sobel,gaussian_lowpass,3,True,0.0,0.25,1.3967363834381104,55,220,220
noise_curve,syn_01,Sobel,gaussian_lowpass,3,True,5.0,0.33181818181818185,1.7866977453231812,73,220,220
noise_curve,syn_01,Sobel,gaussian_lowpass,3,True,10.0,0.35454545454545455,1.396605908870697,78,220,220
noise_curve,syn_01,Sobel,gaussian_lowpass,3,True,20.0,0.36363636363636365,1.4306671619415283,80,220,220
noise_curve,syn_01,LoG,gaussian_lowpass,3,True,0.0,0.5772727272727273,1.4766664505004883,127,220,220
noise_curve,syn_01,LoG,gaussian_lowpass,3,True,5.0,0.55,1.6102783679962158,121,220,220
noise_curve,syn_01,LoG,gaussian_lowpass,3,True,10.0,0.4954545454545455,1.6102783679962158,109,220,220
noise_curve,syn_01,LoG,gaussian_lowpass,3,True,20.0,0.4954545454545455,1.5968997478485107,109,220,220
noise_curve,syn_01,Harris,gaussian_lowpass,3,True,0.0,0.8727272727272727,0.6520756483078003,192,220,220
noise_curve,syn_01,Harris,gaussian_lowpass,3,True,5.0,0.8772727272727273,0.6599792242050171,193,220,220
noise_curve,syn_01,Harris,gaussian_lowpass,3,True,10.0,0.8545454545454545,0.6520756483078003,188,220,220
noise_curve,syn_01,Harris,gaussian_lowpass,3,True,20.0,0.85,0.6406850814819336,187,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_lowpass,3,True,0.0,0.8454545454545455,0.7062069177627563,186,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_lowpass,3,True,5.0,0.8363636363636363,0.6930934190750122,184,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_lowpass,3,True,10.0,0.8363636363636363,0.7062069177627563,184,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_lowpass,3,True,20.0,0.8045454545454546,0.6810259222984314,177,220,220
noise_curve,syn_01,SIFT,gaussian_lowpass,3,True,0.0,0.8590909090909091,0.28055471181869507,189,220,220
noise_curve,syn_01,SIFT,gaussian_lowpass,3,True,5.0,0.8545454545454545,0.29994480311870575,188,220,220
noise_curve,syn_01,SIFT,gaussian_lowpass,3,True,10.0,0.8545454545454545,0.2804601639509201,188,220,220
noise_curve,syn_01,SIFT,gaussian_lowpass,3,True,20.0,0.8318181818181818,0.3561330735683441,183,220,220
noise_curve,syn_01,Sobel,ideal_highpass,3,True,0.0,0.5909090909090909,1.429274559020996,130,220,220
noise_curve,syn_01,Sobel,ideal_highpass,3,True,5.0,0.5954545454545455,1.2726179361343384,131,220,220
noise_curve,syn_01,Sobel,ideal_highpass,3,True,10.0,0.5954545454545455,1.5792324542999268,131,220,220
noise_curve,syn_01,Sobel,ideal_highpass,3,True,20.0,0.6181818181818182,1.6450850367546082,136,220,220
noise_curve,syn_01,LoG,ideal_highpass,3,True,0.0,0.6636363636363637,0.594755232334137,146,220,220
noise_curve,syn_01,LoG,ideal_highpass,3,True,5.0,0.6454545454545455,0.5595521628856659,142,220,220
noise_curve,syn_01,LoG,ideal_highpass,3,True,10.0,0.6409090909090909,0.6049869060516357,141,220,220
noise_curve,syn_01,LoG,ideal_highpass,3,True,20.0,0.5954545454545455,0.7369821071624756,131,220,220
noise_curve,syn_01,Harris,ideal_highpass,3,True,0.0,0.740909090909091,0.5585233569145203,163,220,220
noise_curve,syn_01,Harris,ideal_highpass,3,True,5.0,0.7363636363636363,0.5591122210025787,162,220,220
noise_curve,syn_01,Harris,ideal_highpass,3,True,10.0,0.7454545454545455,0.574645072221756,164,220,220
noise_curve,syn_01,Harris,ideal_highpass,3,True,20.0,0.7318181818181818,0.6030135750770569,161,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_highpass,3,True,0.0,0.8,0.742210865020752,176,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_highpass,3,True,5.0,0.8045454545454546,0.7236874103546143,177,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_highpass,3,True,10.0,0.8,0.7511869668960571,176,220,220
noise_curve,syn_01,Shi-Tomasi,ideal_highpass,3,True,20.0,0.7681818181818182,0.8177856206893921,169,220,220
noise_curve,syn_01,SIFT,ideal_highpass,3,True,0.0,0.6409090909090909,0.48987138271331787,141,220,220
noise_curve,syn_01,SIFT,ideal_highpass,3,True,5.0,0.6363636363636364,0.47843651473522186,140,220,220
noise_curve,syn_01,SIFT,ideal_highpass,3,True,10.0,0.6227272727272727,0.5126225352287292,137,220,220
noise_curve,syn_01,SIFT,ideal_highpass,3,True,20.0,0.4590909090909091,0.5440468788146973,101,220,220
noise_curve,syn_01,Sobel,gaussian_highpass,3,True,0.0,0.509090909090909,1.6361353993415833,112,220,220
noise_curve,syn_01,Sobel,gaussian_highpass,3,True,5.0,0.5045454545454545,1.6330803632736206,111,220,220
noise_curve,syn_01,Sobel,gaussian_highpass,3,True,10.0,0.509090909090909,1.6284360885620117,112,220,220
noise_curve,syn_01,Sobel,gaussian_highpass,3,True,20.0,0.4818181818181818,1.4515523314476013,106,220,220
noise_curve,syn_01,LoG,gaussian_highpass,3,True,0.0,0.7181818181818181,0.4973732680082321,158,220,220
noise_curve,syn_01,LoG,gaussian_highpass,3,True,5.0,0.6636363636363637,0.5290136635303497,146,220,220
noise_curve,syn_01,LoG,gaussian_highpass,3,True,10.0,0.6545454545454545,0.5290136635303497,144,220,220
noise_curve,syn_01,LoG,gaussian_highpass,3,True,20.0,0.5954545454545455,0.5968911051750183,131,220,220
noise_curve,syn_01,Harris,gaussian_highpass,3,True,0.0,0.7181818181818181,0.5258958637714386,158,220,220
noise_curve,syn_01,Harris,gaussian_highpass,3,True,5.0,0.740909090909091,0.5375632643699646,163,220,220
noise_curve,syn_01,Harris,gaussian_highpass,3,True,10.0,0.7272727272727273,0.5507513582706451,160,220,220
noise_curve,syn_01,Harris,gaussian_highpass,3,True,20.0,0.6909090909090909,0.574645072221756,152,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_highpass,3,True,0.0,0.7636363636363637,0.6207292973995209,168,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_highpass,3,True,5.0,0.759090909090909,0.593174934387207,167,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_highpass,3,True,10.0,0.7545454545454545,0.605449914932251,166,220,220
noise_curve,syn_01,Shi-Tomasi,gaussian_highpass,3,True,20.0,0.7454545454545455,0.657734602689743,164,220,220
noise_curve,syn_01,SIFT,gaussian_highpass,3,True,0.0,0.6681818181818182,0.3451002240180969,147,220,220
noise_curve,syn_01,SIFT,gaussian_highpass,3,True,5.0,0.6681818181818182,0.2974720001220703,147,220,220
noise_curve,syn_01,SIFT,gaussian_highpass,3,True,10.0,0.6045454545454545,0.3040962815284729,133,220,220
noise_curve,syn_01,SIFT,gaussian_highpass,3,True,20.0,0.4954545454545455,0.3142183721065521,109,220,220
noise_curve,syn_02,Sobel,none,3,True,0.0,0.3181818181818182,2.0473564863204956,70,220,220
noise_curve,syn_02,Sobel,none,3,True,5.0,0.31363636363636366,1.9699116945266724,69,220,220
noise_curve,syn_02,Sobel,none,3,True,10.0,0.30454545454545456,1.9699116945266724,67,220,220
noise_curve,syn_02,Sobel,none,3,True,20.0,0.2545454545454545,2.038090944290161,56,220,220
noise_curve,syn_02,LoG,none,3,True,0.0,0.6818181818181818,0.5603074729442596,150,220,220
noise_curve,syn_02,LoG,none,3,True,5.0,0.6772727272727272,0.5828644633293152,149,220,220
noise_curve,syn_02,LoG,none,3,True,10.0,0.6590909090909091,0.5891708731651306,145,220,220
noise_curve,syn_02,LoG,none,3,True,20.0,0.5954545454545455,0.568042516708374,131,220,220
noise_curve,syn_02,Harris,none,3,True,0.0,0.8045454545454546,0.4796711206436157,177,220,220
noise_curve,syn_02,Harris,none,3,True,5.0,0.7863636363636364,0.5224936008453369,173,220,220
noise_curve,syn_02,Harris,none,3,True,10.0,0.7772727272727272,0.5783312916755676,171,220,220
noise_curve,syn_02,Harris,none,3,True,20.0,0.7681818181818182,0.6281461119651794,169,220,220
noise_curve,syn_02,Shi-Tomasi,none,3,True,0.0,0.8045454545454546,0.6441096663475037,177,220,220
noise_curve,syn_02,Shi-Tomasi,none,3,True,5.0,0.8090909090909091,0.6907096803188324,178,220,220
noise_curve,syn_02,Shi-Tomasi,none,3,True,10.0,0.8045454545454546,0.7142384052276611,177,220,220
noise_curve,syn_02,Shi-Tomasi,none,3,True,20.0,0.7772727272727272,0.7381194233894348,171,220,220
noise_curve,syn_02,SIFT,none,3,True,0.0,0.6772727272727272,0.39218267798423767,149,220,220
noise_curve,syn_02,SIFT,none,3,True,5.0,0.6772727272727272,0.38501816987991333,149,220,220
noise_curve,syn_02,SIFT,none,3,True,10.0,0.6454545454545455,0.3657884895801544,142,220,220
noise_curve,syn_02,SIFT,none,3,True,20.0,0.4636363636363636,0.4151850789785385,102,220,220
noise_curve,syn_02,Sobel,ideal_lowpass,3,True,0.0,0.6272727272727273,0.9727466106414795,138,220,220
noise_curve,syn_02,Sobel,ideal_lowpass,3,True,5.0,0.6454545454545455,1.0417143106460571,142,220,220
noise_curve,syn_02,Sobel,ideal_lowpass,3,True,10.0,0.6227272727272727,1.1136165857315063,137,220,220
noise_curve,syn_02,Sobel,ideal_lowpass,3,True,20.0,0.6272727272727273,1.1043241620063782,138,220,220
noise_curve,syn_02,LoG,ideal_lowpass,3,True,0.0,0.6818181818181818,1.0538924932479858,150,220,220
noise_curve,syn_02,LoG,ideal_lowpass,3,True,5.0,0.6818181818181818,0.9709080457687378,150,220,220
noise_curve,syn_02,LoG,ideal_lowpass,3,True,10.0,0.6681818181818182,0.9702964425086975,147,220,220
noise_curve,syn_02,LoG,ideal_lowpass,3,True,20.0,0.6545454545454545,1.0600592494010925,144,220,220
noise_curve,syn_02,Harris,ideal_lowpass,3,True,0.0,0.7681818181818182,0.9030733108520508,169,220,220
noise_curve,syn_02,Harris,ideal_lowpass,3,True,5.0,0.75,0.938806414604187,165,220,220
noise_curve,syn_02,Harris,ideal_lowpass,3,True,10.0,0.740909090909091,0.9030733108520508,163,220,220
noise_curve,syn_02,Harris,ideal_lowpass,3,True,20.0,0.740909090909091,0.9362766146659851,163,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_lowpass,3,True,0.0,0.7818181818181819,0.916797012090683,172,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_lowpass,3,True,5.0,0.7727272727272727,0.8999757170677185,170,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_lowpass,3,True,10.0,0.7818181818181819,0.8907239735126495,172,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_lowpass,3,True,20.0,0.7863636363636364,0.9613648056983948,173,220,220
noise_curve,syn_02,SIFT,ideal_lowpass,3,True,0.0,0.6818181818181818,0.42618776857852936,150,220,220
noise_curve,syn_02,SIFT,ideal_lowpass,3,True,5.0,0.6772727272727272,0.4398351311683655,149,220,220
noise_curve,syn_02,SIFT,ideal_lowpass,3,True,10.0,0.6681818181818182,0.42813244462013245,147,220,220
noise_curve,syn_02,SIFT,ideal_lowpass,3,True,20.0,0.6363636363636364,0.43688276410102844,140,220,220
noise_curve,syn_02,Sobel,gaussian_lowpass,3,True,0.0,0.4818181818181818,1.131486713886261,106,220,220
noise_curve,syn_02,Sobel,gaussian_lowpass,3,True,5.0,0.42272727272727273,1.4159975051879883,93,220,220
noise_curve,syn_02,Sobel,gaussian_lowpass,3,True,10.0,0.41363636363636364,1.3149478435516357,91,220,220
noise_curve,syn_02,Sobel,gaussian_lowpass,3,True,20.0,0.39545454545454545,1.445637822151184,87,220,220
noise_curve,syn_02,LoG,gaussian_lowpass,3,True,0.0,0.5590909090909091,1.5008641481399536,123,220,220
noise_curve,syn_02,LoG,gaussian_lowpass,3,True,5.0,0.5545454545454546,1.6091266870498657,122,220,220
