frequency_filter,method,image_scale,count,repeatability,repeatability_std,repeatability_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count
gaussian_highpass,Harris,0.5,10,0.4351917664817767,0.03811859439853618,10,1.854365587234497,0.2425237081737531,10
gaussian_highpass,Harris,0.75,10,0.5822727272727273,0.046228263449948,10,1.3878448367118836,0.43921121373895816,10
gaussian_highpass,Harris,1.0,10,0.6096803652968037,0.14523310968437478,10,1.0202404856681824,0.5833011440436238,10
gaussian_highpass,Harris,1.25,10,0.586784192306374,0.1498569237931267,10,1.094989261031151,0.5992864115464589,10
gaussian_highpass,LoG,0.5,10,0.11727272727272728,0.017115177268415677,10,2.8023196041584013,0.5881524038073075,10
gaussian_highpass,LoG,0.75,10,0.2759090909090909,0.0953715367787906,10,1.5587865114212036,0.5227056437395217,10
gaussian_highpass,LoG,1.0,10,0.5513636363636365,0.19198888952395862,10,0.908423227071762,0.6392362621370551,10
gaussian_highpass,LoG,1.25,10,0.48826599326599335,0.10806256860687719,10,0.8717317700386047,0.4177361997887104,10
gaussian_highpass,SIFT,0.5,10,0.29767490573942185,0.03935391769002621,10,1.5527641236782075,0.38544569564866554,10
gaussian_highpass,SIFT,0.75,10,0.43136363636363634,0.06712822317853674,10,1.0459794402122498,0.47580167390466005,10
gaussian_highpass,SIFT,1.0,10,0.550909090909091,0.11017558404872427,10,0.7788735657930375,0.5742429169888869,10
gaussian_highpass,SIFT,1.25,10,0.5495031712473573,0.08290209223451983,10,0.7691260308027268,0.4297605949141455,10
gaussian_highpass,Shi-Tomasi,0.5,10,0.5649165103225071,0.02106043046000588,10,1.9338882982730865,0.4665638868250792,10
gaussian_highpass,Shi-Tomasi,0.75,10,0.6222727272727272,0.048930245884838755,10,1.4740625262260436,0.3553436731268297,10
gaussian_highpass,Shi-Tomasi,1.0,10,0.6877438771274388,0.11136864363718081,10,1.0900619447231292,0.6044795895353458,10
gaussian_highpass,Shi-Tomasi,1.25,10,0.6032640137519512,0.12389561680304671,10,1.1976685643196106,0.5139299772910867,10
gaussian_highpass,Sobel,0.5,10,0.18875790846422286,0.04683622514203006,10,2.9372400403022767,0.3476265618287236,10
gaussian_highpass,Sobel,0.75,10,0.29454545454545455,0.08516715051104386,10,2.2351002752780915,0.3186682152907609,10
gaussian_highpass,Sobel,1.0,10,0.4004545454545455,0.14898570444360865,10,1.973563003540039,0.5730591429394769,10
gaussian_highpass,Sobel,1.25,10,0.35727272727272724,0.13852164486944632,10,2.165516710281372,0.3657524830582526,10
gaussian_lowpass,Harris,0.5,10,0.5210649210113558,0.046975281013794855,10,2.063379168510437,0.17155986163890263,10
gaussian_lowpass,Harris,0.75,10,0.7131818181818183,0.06640617150781294,10,1.6360088050365449,0.30022405954964204,10
gaussian_lowpass,Harris,1.0,10,0.8068181818181819,0.08488229845714727,10,0.9595871537923812,0.46192226492983274,10
gaussian_lowpass,Harris,1.25,10,0.7690909090909092,0.03433749205870375,10,0.9350702047348023,0.41555122519998106,10
gaussian_lowpass,LoG,0.5,10,0.4271136184233998,0.035435049086152914,10,1.5159863710403443,0.12976936707200049,10
gaussian_lowpass,LoG,0.75,10,0.4536363636363636,0.0736930820346201,10,1.4791179537773131,0.07908912712907469,10
gaussian_lowpass,LoG,1.0,10,0.5077272727272728,0.09479207345597335,10,1.545017570257187,0.11851658349359193,10
gaussian_lowpass,LoG,1.25,10,0.4810339142722563,0.12001266618314897,10,1.5461942613124848,0.13984381600578044,10
gaussian_lowpass,SIFT,0.5,10,0.6097882938978829,0.04817337558456665,10,1.0278390675783158,0.29464343819961863,10
gaussian_lowpass,SIFT,0.75,10,0.7054545454545454,0.026050033091318134,10,0.7351082295179368,0.12905608114803124,10
gaussian_lowpass,SIFT,1.0,10,0.7986363636363636,0.06305834166569228,10,0.41307361274957655,0.2361225904830382,10
gaussian_lowpass,SIFT,1.25,10,0.7777272727272726,0.020490988859156564,10,0.42679393440485003,0.12341751594287688,10
gaussian_lowpass,Shi-Tomasi,0.5,10,0.5729421893216424,0.04470602470052974,10,1.845614069700241,0.1497415735172133,10
gaussian_lowpass,Shi-Tomasi,0.75,10,0.6640909090909091,0.05254977088978914,10,1.5695393204689025,0.34088178601059804,10
gaussian_lowpass,Shi-Tomasi,1.0,10,0.7918181818181818,0.078402320012149,10,1.003154930472374,0.47808831821725206,10
gaussian_lowpass,Shi-Tomasi,1.25,10,0.7554545454545455,0.041372237977881234,10,0.9404599338769912,0.4451775556812723,10
gaussian_lowpass,Sobel,0.5,10,0.5595236476886518,0.07108879752078416,10,1.4986791491508484,0.19796191433890845,10
gaussian_lowpass,Sobel,0.75,10,0.40232224727070093,0.06766269326581172,10,1.330810660123825,0.104866197236924,10
gaussian_lowpass,Sobel,1.0,10,0.3972727272727273,0.09972874136833756,10,1.3130675613880158,0.1464365340028576,10
gaussian_lowpass,Sobel,1.25,10,0.3677272727272728,0.11520034849707514,10,1.392954295873642,0.2503337143908067,10
ideal_highpass,Harris,0.5,10,0.48385378574189525,0.029660829929426164,10,1.808349996805191,0.2536876508478426,10
ideal_highpass,Harris,0.75,10,0.6109090909090911,0.057941422558628455,10,1.4632763743400574,0.37212873406672636,10
ideal_highpass,Harris,1.0,10,0.6578808634288086,0.14600923089818038,10,1.099229320883751,0.6282459452544672,10
ideal_highpass,Harris,1.25,10,0.6003210787938806,0.17179445052161682,10,1.3206463873386383,0.7512214083855102,10
ideal_highpass,LoG,0.5,10,0.16045454545454546,0.016184485082698895,10,3.309709906578064,0.22435117103298965,10
ideal_highpass,LoG,0.75,10,0.29363636363636364,0.065492413288465,10,2.216323447227478,0.4058017021830314,10
ideal_highpass,LoG,1.0,10,0.545,0.1671817110748252,10,1.0340157270431518,0.7403880251104307,10
ideal_highpass,LoG,1.25,10,0.4877444033232187,0.11103187877589295,10,1.0905332416296005,0.7102761675260388,10
ideal_highpass,SIFT,0.5,10,0.32045454545454544,0.033212591237549965,10,1.1247113674879075,0.4067531535568122,10
ideal_highpass,SIFT,0.75,10,0.43454545454545457,0.06211012465725949,10,1.4436477810144424,0.6043733280387023,10
ideal_highpass,SIFT,1.0,10,0.5477272727272726,0.10374639737292288,10,1.0592760249972344,0.6361601976327744,10
ideal_highpass,SIFT,1.25,10,0.5254999999999999,0.07733047456006018,10,1.0098238259553909,0.77054670079021,10
ideal_highpass,Shi-Tomasi,0.5,10,0.5807905261938211,0.04720361442530155,10,1.926099133491516,0.23056644373597074,10
ideal_highpass,Shi-Tomasi,0.75,10,0.6331818181818181,0.06926910831237246,10,1.6403713703155518,0.32046390649967865,10
ideal_highpass,Shi-Tomasi,1.0,10,0.6914997905320487,0.11855780689958616,10,1.3187436014413834,0.6786359449704745,10
ideal_highpass,Shi-Tomasi,1.25,10,0.6019696969696969,0.1532693901885784,10,1.4373772621154786,0.6062486333676724,10
ideal_highpass,Sobel,0.5,10,0.1691570635936833,0.043769258252554004,10,3.721445381641388,0.2493872047250242,10
ideal_highpass,Sobel,0.75,10,0.31909090909090915,0.07511240429008324,10,3.461367976665497,0.23659055464449028,10
ideal_highpass,Sobel,1.0,10,0.47363636363636374,0.1301408433907561,10,2.2832616686820986,0.9224977351438733,10
ideal_highpass,Sobel,1.25,10,0.4022727272727272,0.07370709908457751,10,2.5678863644599916,0.40364618788752316,10
ideal_lowpass,Harris,0.5,10,0.3685662434745004,0.06591714582349528,10,2.393272078037262,0.3137278565334289,10
ideal_lowpass,Harris,0.75,10,0.49288680445272126,0.03965430773372703,10,2.418723964691162,0.19510769041979034,10
ideal_lowpass,Harris,1.0,10,0.6613636363636364,0.11342910392029736,10,1.425290048122406,0.5919001602821671,10
ideal_lowpass,Harris,1.25,10,0.5881818181818181,0.05438528672632761,10,1.6088547110557556,0.2744836255202727,10
ideal_lowpass,LoG,0.5,10,0.30347896312142086,0.05390699717689544,10,2.815022552013397,0.5189979520051462,10
ideal_lowpass,LoG,0.75,10,0.4048049655367903,0.04772071946613496,10,2.5330876111984253,0.2638862770855762,10
ideal_lowpass,LoG,1.0,10,0.5603878231859883,0.0800413292458421,10,1.5713126182556152,0.5618466663315989,10
ideal_lowpass,LoG,1.25,10,0.48431506849315065,0.05809570509226713,10,1.8149368107318877,0.21815544037475523,10
ideal_lowpass,SIFT,0.5,10,0.4372727272727272,0.06391712954314996,10,1.502675873041153,0.2919634867960478,10
ideal_lowpass,SIFT,0.75,10,0.48545454545454547,0.0464437809979811,10,1.3171396374702453,0.21324984628196977,10
ideal_lowpass,SIFT,1.0,10,0.6431818181818183,0.08630380702748874,10,0.7205843508243561,0.3267122809688451,10
ideal_lowpass,SIFT,1.25,10,0.5695454545454546,0.035601224687717994,10,0.9127923011779785,0.15244482879363824,10
ideal_lowpass,Shi-Tomasi,0.5,10,0.4088877351904158,0.08040475324854429,10,2.38918696641922,0.3700357339105847,10
ideal_lowpass,Shi-Tomasi,0.75,10,0.48400750625521266,0.03774477342516056,10,2.3212603092193604,0.24953365820071507,10
ideal_lowpass,Shi-Tomasi,1.0,10,0.6727272727272726,0.10080028714230241,10,1.3643215745687485,0.4570146055429691,10
ideal_lowpass,Shi-Tomasi,1.25,10,0.6090909090909091,0.05093253428476246,10,1.5274175822734832,0.21687384484079697,10
ideal_lowpass,Sobel,0.5,10,0.31098884730698567,0.07520277559324405,10,3.4954675316810606,0.40238338046275507,10
ideal_lowpass,Sobel,0.75,10,0.42480271222206706,0.08057447561281172,10,2.496556055545807,0.23839741527383407,10
ideal_lowpass,Sobel,1.0,10,0.5668181818181818,0.11771566964387602,10,1.467131143808365,0.3822883802600736,10
ideal_lowpass,Sobel,1.25,10,0.509090909090909,0.07376158451295808,10,2.056282663345337,0.4028468253185259,10
none,Harris,0.5,10,0.4806260045455907,0.03618584369462609,10,1.5452901780605317,0.2101496239975355,10
none,Harris,0.75,10,0.6345454545454544,0.062220910388899875,10,1.120268377661705,0.3884677185870396,10
none,Harris,1.0,10,0.6795454545454545,0.10709988643752677,10,0.8775459885597229,0.5705098368725793,10
none,Harris,1.25,10,0.6468181818181817,0.08221145662030742,10,0.9785313576459884,0.5133879179838124,10
none,LoG,0.5,10,0.08727272727272727,0.026225692755659155,10,1.9160190284252168,0.25478709351160467,10
none,LoG,0.75,10,0.1527272727272727,0.10207219397254645,10,1.1929564714431762,0.32712914157703354,10
none,LoG,1.0,10,0.3818181818181818,0.30499363975966376,10,0.7230013817548752,0.2771464777159384,10
none,LoG,1.25,10,0.37772727272727274,0.27049974157628587,10,0.7154899463057518,0.34299280988000475,10
none,SIFT,0.5,10,0.35633640552995394,0.029361490107275512,10,0.7222636133432389,0.39649790815084324,10
none,SIFT,0.75,10,0.48,0.07285972786734507,10,0.712376382946968,0.39581399166159875,10
none,SIFT,1.0,10,0.5522727272727272,0.1384230019049652,10,0.6066663712263107,0.4094647729980751,10
none,SIFT,1.25,10,0.5355681818181819,0.09541553134888227,10,0.7064454704523087,0.35703624944218676,10
none,Shi-Tomasi,0.5,10,0.6044158198945879,0.027197943273576088,10,1.4247249066829681,0.259715128502696,10
none,Shi-Tomasi,0.75,10,0.6836363636363636,0.06240511622264769,10,1.1883782476186753,0.405792324718444,10
none,Shi-Tomasi,1.0,10,0.7468181818181818,0.07410469599680372,10,0.9370558261871338,0.45720186626925424,10
none,Shi-Tomasi,1.25,10,0.6986363636363637,0.06843555479937229,10,1.0538867503404616,0.5623041381112429,10
none,Sobel,0.5,10,0.16558736687098857,0.06718331460091075,10,2.2107818365097045,0.49044042495026374,10
none,Sobel,0.75,10,0.1981818181818182,0.09640460345115705,10,2.2238537549972532,0.2990040259893257,10
none,Sobel,1.0,10,0.21272727272727274,0.12023851411042177,10,2.047907739877701,0.19597481708587497,10
none,Sobel,1.25,10,0.1290909090909091,0.0831319881656995,10,2.2360474109649657,0.4040343954720623,10
